,name_in_url,he_count,she_count,name_in_profile
209,gonzalo_vilarino,1,0,Gonzalo Vilariño
210,armando_azua_bustos,2,0,Armando Azua-Bustos
211,noriko_arai,0,1,Noriko Arai
212,rodrigo_bijou,1,0,Rodrigo Bijou
213,phil_borges,3,0,Phil Borges
214,richard_turere,6,0,Richard Turere
215,yossi_vardi,9,0,Yossi Vardi
216,huang_yi,4,0,Huang Yi
217,vinay_venkatraman,5,0,Vinay Venkatraman
218,eli_beer,8,0,Eli Beer
219,kelli_anderson,0,4,Kelli Anderson
220,john_walker,1,0,John Q. Walker
221,roger_antonsen,2,0,Roger Antonsen
222,geoffrey_canada,4,0,Geoffrey Canada
223,reggie_watts,3,0,Reggie Watts
224,caleb_chung,6,0,Caleb Chung
225,will_wright,4,0,Will Wright
226,eric_topol,3,0,Eric Topol
227,eddy_cartaya,4,0,Eddy Cartaya
228,alessandro_acquisti,2,0,Alessandro Acquisti
229,genevieve_von_petzinger,0,3,Genevieve von Petzinger
230,clayton_cameron,3,0,Clayton Cameron
231,rich_benjamin,2,0,Rich Benjamin
232,paolo_cardini,0,0,Paolo Cardini
233,ahn_trio,0,0,Ahn Trio
234,anil_ananthaswamy,6,0,Anil Ananthaswamy
235,laurel_braitman,0,0,Laurel Braitman
236,ravin_agrawal,2,0,Ravin Agrawal
237,mac_barnett,2,0,Mac Barnett
238,tristram_wyatt,2,0,Tristram Wyatt
239,ruby_wax,0,5,Ruby Wax
240,james_balog,1,0,James Balog
241,ash_beckham,0,2,Ash Beckham
242,bill_clinton,5,0,Bill Clinton
243,ellen_t_hoen,0,6,Ellen 't Hoen
244,gabriel_barcia_colombo,4,0,Gabriel Barcia-Colombo
245,tom_wujec,9,0,Tom Wujec
246,megan_washington,0,10,Megan Washington
247,ed_ulbrich,4,0,Ed Ulbrich
248,barat_ali_batoor,6,0,Barat Ali Batoor
249,richard_wilkinson,3,0,Richard Wilkinson
250,david_byrne,5,0,David Byrne
251,bassam_tariq,3,0,Bassam Tariq
252,nabila_alibhai,0,5,Nabila Alibhai
253,stephanie_busari,0,8,Stephanie Busari
254,keith_bellows,4,0,Keith Bellows
255,andrew_blum,4,0,Andrew Blum
256,black_label_movement,2,0,Black Label Movement
257,david_binder,2,0,David Binder
258,leslie_chang,0,2,Leslie T. Chang
259,erez_lieberman_aiden,0,0,Erez Lieberman Aiden
260,jonathan_tepperman,2,0,Jonathan Tepperman
261,maria_bezaitis,0,1,Maria Bezaitis
262,neil_turok,7,0,Neil Turok
263,wendy_chung,0,7,Wendy Chung
264,aris_venetikidis,0,0,Aris Venetikidis
265,nikolai_begg,4,0,Nikolai Begg
266,jake_wood,4,0,Jake Wood
267,harsha_bhogle,4,0,Harsha Bhogle
268,noah_wilson_rich,3,0,Noah Wilson-Rich
269,jonathan_zittrain,5,0,Jonathan Zittrain
270,christina_warinner,0,5,Christina Warinner
271,michael_biddle,3,0,Mike Biddle
272,shree_bose,0,3,Shree Bose
273,sarah_bergbreiter,0,5,Sarah Bergbreiter
274,mustafa_akyol,2,0,Mustafa Akyol
275,abraham_verghese,7,0,Abraham Verghese
276,sayu_bhojwani,0,3,Sayu Bhojwani
277,monika_bulaj,0,7,Monika Bulaj
278,becky_blanton,0,4,Becky Blanton
279,peter_attia,9,0,Peter Attia
280,neil_burgess,2,0,Neil Burgess
281,shashi_tharoor,9,0,Shashi Tharoor
282,ray_anderson,8,0,Ray Anderson
283,talithia_williams,0,1,Talithia Williams
284,tim_urban,0,0,Tim Urban
285,bruce_aylward,2,0,Bruce Aylward
286,stephen_wilkes,3,0,Stephen Wilkes
287,jeff_bezos,4,0,Jeff Bezos
288,bruce_bueno_de_mesquita,7,0,Bruce Bueno de Mesquita
289,mark_bezos,2,0,Mark Bezos
290,andrew_bird,8,0,Andrew Bird
291,raymond_wang,3,0,Raymond Wang
292,tierney_thys,0,5,Tierney Thys
293,heribert_watzke,2,0,Heribert Watzke
294,suzanne_talhouk,0,3,Suzanne Talhouk
295,karima_bennoune,0,7,Karima Bennoune
296,nina_tandon,0,1,Nina Tandon
297,monica_araya,0,3,Monica Araya
298,nathalie_cabrol,0,1,Nathalie Cabrol
299,amos_winter,0,0,Amos Winter
300,haley_van_dyck,0,3,Haley Van Dyck
301,anand_agarawala,1,0,Anand Agarawala
